time_s,cum_MJ/m2,cum_klux_hr,dE76,dE76,dE00,dE00,dR,dR,dR_VIS,dR_VIS,L*,L*,a*,a*,b*,b*,C*,C*,h,h
value,value,value,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.83,1.383,-8.33,0.908,-33.16,0.439,34.21,0.198,255.9,1.66
17.857,0.5,37.519,0.551,0.112,0.34,0.093,1.318,0.329,0.287,0.047,44.676,1.488,-7.963,0.988,-32.821,0.536,33.789,0.291,256.354,1.846
35.714,1.0,75.038,0.868,0.163,0.514,0.131,1.504,0.255,0.438,0.067,44.615,1.552,-7.797,1.033,-32.571,0.61,33.509,0.367,256.522,1.962
53.571,1.5,112.556,1.106,0.201,0.634,0.149,1.445,0.348,0.542,0.081,44.59,1.592,-7.7,1.063,-32.35,0.651,33.277,0.409,256.593,2.036
71.429,2.0,150.075,1.294,0.24,0.721,0.165,1.895,0.503,0.629,0.099,44.59,1.624,-7.638,1.079,-32.162,0.678,33.077,0.438,256.616,2.085
89.286,2.5,187.594,1.454,0.269,0.784,0.167,2.144,0.926,0.701,0.11,44.6,1.645,-7.598,1.088,-31.99,0.701,32.9,0.459,256.623,2.117
107.143,3.0,225.113,1.603,0.29,0.846,0.164,2.177,0.494,0.749,0.103,44.612,1.657,-7.564,1.096,-31.83,0.718,32.739,0.472,256.599,2.146
125.0,3.5,262.631,1.737,0.312,0.896,0.166,2.534,0.157,0.794,0.099,44.629,1.668,-7.543,1.103,-31.688,0.732,32.596,0.489,256.582,2.171
142.857,4.0,300.15,1.859,0.33,0.939,0.16,2.241,0.219,0.837,0.104,44.649,1.678,-7.526,1.106,-31.549,0.746,32.461,0.5,256.556,2.195
160.714,4.5,337.669,1.981,0.345,0.978,0.158,1.85,0.14,0.871,0.107,44.671,1.685,-7.512,1.108,-31.42,0.757,32.328,0.51,256.53,2.213
178.571,5.0,375.188,2.088,0.365,1.02,0.154,2.339,0.521,0.913,0.109,44.689,1.696,-7.498,1.115,-31.306,0.774,32.212,0.524,256.499,2.237
196.429,5.5,412.706,2.195,0.373,1.056,0.154,2.463,0.581,0.959,0.104,44.709,1.697,-7.492,1.119,-31.188,0.775,32.101,0.529,256.467,2.25
214.286,6.0,450.225,2.295,0.379,1.09,0.151,2.134,0.293,0.981,0.116,44.731,1.711,-7.482,1.119,-31.08,0.777,31.992,0.531,256.436,2.261
232.143,6.5,487.744,2.387,0.401,1.134,0.141,2.391,0.385,1.009,0.108,44.739,1.711,-7.459,1.134,-30.994,0.811,31.906,0.56,256.442,2.302
250.0,7.0,525.263,2.473,0.422,1.172,0.13,2.449,0.496,1.038,0.1,44.744,1.706,-7.43,1.149,-30.92,0.85,31.829,0.595,256.459,2.348
267.857,7.5,562.781,2.563,0.432,1.206,0.124,1.921,0.129,1.063,0.102,44.764,1.712,-7.415,1.15,-30.833,0.861,31.738,0.602,256.439,2.366
285.714,8.0,600.3,2.647,0.441,1.241,0.125,2.028,0.468,1.088,0.108,44.784,1.72,-7.406,1.156,-30.74,0.862,31.65,0.606,256.419,2.385
303.571,8.5,637.819,2.736,0.452,1.272,0.121,2.494,0.374,1.118,0.099,44.8,1.717,-7.399,1.162,-30.653,0.871,31.559,0.611,256.389,2.405
321.429,9.0,675.338,2.817,0.453,1.3,0.118,2.525,0.443,1.143,0.097,44.821,1.713,-7.395,1.167,-30.562,0.876,31.472,0.614,256.362,2.418
339.286,9.5,712.856,2.898,0.465,1.328,0.114,2.642,0.732,1.154,0.09,44.845,1.711,-7.389,1.163,-30.475,0.88,31.387,0.62,256.332,2.422
357.143,10.0,750.375,2.977,0.473,1.356,0.114,2.832,0.661,1.184,0.086,44.861,1.713,-7.387,1.168,-30.393,0.889,31.309,0.624,256.307,2.441
