time_s,cum_MJ/m2,cum_klux_hr,dE76,dE76,dE00,dE00,dR,dR,dR_VIS,dR_VIS,L*,L*,a*,a*,b*,b*,C*,C*,h,h
value,value,value,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.937,1.053,0.617,0.572,-41.717,0.841,41.727,0.845,270.833,0.783
52.036,0.5,50.683,0.264,0.006,0.186,0.017,2.141,0.357,0.172,0.02,42.849,1.029,0.862,0.588,-41.729,0.86,41.741,0.866,271.166,0.797
104.073,1.0,101.367,0.332,0.007,0.238,0.02,2.246,0.119,0.238,0.031,42.843,1.014,0.922,0.609,-41.696,0.894,41.712,0.903,271.246,0.825
156.109,1.5,152.05,0.362,0.004,0.264,0.018,2.602,0.473,0.27,0.029,42.853,1.011,0.946,0.613,-41.664,0.91,41.68,0.919,271.287,0.83
208.145,2.0,202.734,0.386,0.018,0.284,0.018,2.283,0.071,0.309,0.036,42.864,1.007,0.96,0.617,-41.623,0.921,41.638,0.929,271.308,0.837
260.181,2.5,253.417,0.411,0.039,0.309,0.033,2.695,0.543,0.329,0.06,42.866,0.991,0.973,0.607,-41.57,0.927,41.587,0.936,271.323,0.824
312.218,3.0,304.101,0.443,0.063,0.333,0.048,2.617,0.592,0.364,0.061,42.863,0.974,0.987,0.599,-41.532,0.934,41.547,0.943,271.343,0.815
364.254,3.5,354.784,0.457,0.068,0.34,0.037,2.506,0.442,0.381,0.05,42.883,0.983,0.981,0.606,-41.494,0.941,41.511,0.95,271.34,0.821
416.29,4.0,405.468,0.473,0.071,0.352,0.037,2.253,0.342,0.389,0.047,42.902,0.983,0.983,0.605,-41.457,0.944,41.473,0.953,271.346,0.823
468.326,4.5,456.151,0.489,0.077,0.355,0.037,2.177,0.353,0.409,0.035,42.914,0.983,0.978,0.604,-41.422,0.95,41.441,0.954,271.337,0.827
520.363,5.0,506.835,0.512,0.084,0.367,0.035,2.764,0.388,0.422,0.051,42.932,0.983,0.979,0.605,-41.391,0.957,41.404,0.966,271.339,0.829
572.399,5.5,557.518,0.531,0.088,0.38,0.033,2.688,0.447,0.431,0.046,42.946,0.987,0.973,0.608,-41.355,0.958,41.37,0.967,271.33,0.829
624.435,6.0,608.202,0.554,0.09,0.383,0.033,2.535,0.572,0.435,0.032,42.958,0.984,0.966,0.604,-41.31,0.951,41.326,0.96,271.322,0.825
676.472,6.5,658.885,0.58,0.096,0.393,0.033,2.425,0.106,0.46,0.046,42.968,0.99,0.957,0.602,-41.272,0.947,41.288,0.956,271.313,0.823
728.508,7.0,709.569,0.609,0.094,0.404,0.025,2.226,0.089,0.472,0.041,42.985,0.988,0.95,0.608,-41.235,0.952,41.251,0.961,271.305,0.83
780.544,7.5,760.252,0.624,0.101,0.412,0.032,2.371,0.091,0.483,0.035,42.999,0.994,0.95,0.601,-41.216,0.958,41.227,0.963,271.303,0.821
832.58,8.0,810.936,0.662,0.1,0.427,0.026,2.84,0.052,0.5,0.048,43.008,0.996,0.94,0.602,-41.164,0.947,41.179,0.954,271.293,0.822
884.617,8.5,861.619,0.689,0.099,0.436,0.026,2.516,0.176,0.502,0.039,43.023,0.997,0.931,0.601,-41.128,0.944,41.144,0.953,271.283,0.822
936.653,9.0,912.303,0.718,0.104,0.441,0.025,2.79,0.42,0.517,0.032,43.037,0.998,0.925,0.599,-41.094,0.947,41.111,0.956,271.275,0.825
988.689,9.5,962.986,0.751,0.106,0.453,0.025,3.222,0.382,0.52,0.022,43.048,1.0,0.917,0.594,-41.056,0.941,41.073,0.95,271.266,0.819
1040.725,10.0,1013.67,0.783,0.104,0.46,0.022,2.491,0.155,0.528,0.031,43.062,1.006,0.908,0.592,-41.014,0.934,41.031,0.943,271.253,0.818
