time_s,cum_MJ/m2,cum_klux_hr,dE76,dE76,dE00,dE00,dR,dR,dR_VIS,dR_VIS,L*,L*,a*,a*,b*,b*,C*,C*,h,h
value,value,value,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.233,0.488,-9.357,0.664,-33.697,1.56,34.99,1.372,254.423,1.612
51.282,0.5,50.683,0.4,0.041,0.239,0.039,2.904,0.369,0.346,0.016,48.147,0.494,-9.078,0.622,-33.44,1.516,34.662,1.353,254.763,1.517
102.564,1.0,101.367,0.63,0.051,0.337,0.04,3.075,0.065,0.517,0.034,48.151,0.498,-8.973,0.602,-33.22,1.497,34.423,1.339,254.832,1.485
153.846,1.5,152.05,0.82,0.065,0.408,0.04,3.508,0.555,0.649,0.032,48.174,0.512,-8.916,0.594,-33.022,1.485,34.216,1.333,254.838,1.468
205.128,2.0,202.734,0.992,0.071,0.473,0.038,3.432,0.207,0.741,0.034,48.198,0.514,-8.872,0.589,-32.845,1.484,34.035,1.331,254.835,1.459
256.41,2.5,253.417,1.184,0.121,0.55,0.038,4.152,0.752,0.865,0.062,48.187,0.565,-8.817,0.613,-32.658,1.443,33.839,1.289,254.845,1.491
307.692,3.0,304.101,1.335,0.147,0.613,0.042,4.052,0.579,0.933,0.069,48.207,0.592,-8.779,0.622,-32.505,1.421,33.678,1.266,254.838,1.505
358.974,3.5,354.784,1.477,0.147,0.662,0.041,3.87,0.159,1.009,0.058,48.236,0.593,-8.754,0.621,-32.36,1.421,33.533,1.267,254.811,1.506
410.256,4.0,405.468,1.602,0.147,0.709,0.036,4.707,1.076,1.067,0.066,48.269,0.594,-8.737,0.618,-32.229,1.419,33.404,1.268,254.781,1.505
461.538,4.5,456.151,1.724,0.147,0.751,0.03,4.442,0.723,1.124,0.066,48.291,0.595,-8.716,0.604,-32.107,1.413,33.28,1.263,254.763,1.497
512.821,5.0,506.835,1.841,0.15,0.794,0.03,5.077,0.256,1.173,0.07,48.323,0.599,-8.699,0.605,-31.99,1.411,33.163,1.259,254.741,1.501
564.103,5.5,557.518,1.954,0.149,0.839,0.027,4.63,0.165,1.229,0.077,48.349,0.603,-8.683,0.602,-31.878,1.41,33.052,1.26,254.711,1.496
615.385,6.0,608.202,2.06,0.154,0.874,0.026,4.9,0.413,1.287,0.087,48.376,0.602,-8.673,0.595,-31.771,1.41,32.942,1.264,254.686,1.49
666.667,6.5,658.885,2.167,0.152,0.919,0.023,4.534,0.563,1.31,0.067,48.401,0.604,-8.652,0.594,-31.667,1.409,32.84,1.26,254.669,1.496
717.949,7.0,709.569,2.27,0.144,0.955,0.021,5.772,1.004,1.376,0.077,48.419,0.602,-8.637,0.588,-31.56,1.409,32.734,1.26,254.648,1.495
769.231,7.5,760.252,2.365,0.143,0.998,0.025,5.141,0.558,1.423,0.074,48.445,0.605,-8.627,0.582,-31.465,1.413,32.642,1.268,254.622,1.492
820.513,8.0,810.936,2.461,0.139,1.034,0.026,4.885,0.465,1.464,0.077,48.47,0.602,-8.617,0.576,-31.376,1.414,32.546,1.267,254.596,1.481
871.795,8.5,861.619,2.548,0.132,1.066,0.028,5.15,0.464,1.5,0.07,48.501,0.601,-8.607,0.569,-31.286,1.416,32.458,1.274,254.567,1.472
923.077,9.0,912.303,2.628,0.128,1.102,0.028,4.975,0.099,1.526,0.066,48.522,0.601,-8.593,0.562,-31.208,1.414,32.379,1.271,254.552,1.468
974.359,9.5,962.986,2.712,0.125,1.135,0.031,5.357,0.528,1.561,0.066,48.553,0.599,-8.586,0.555,-31.125,1.415,32.299,1.274,254.525,1.46
1025.641,10.0,1013.67,2.812,0.115,1.174,0.039,5.908,1.582,1.587,0.058,48.575,0.599,-8.587,0.553,-31.024,1.443,32.203,1.3,254.474,1.48
