time_s,cum_MJ/m2,cum_klux_hr,dE76,dE76,dE00,dE00,dR,dR,dR_VIS,dR_VIS,L*,L*,a*,a*,b*,b*,C*,C*,h,h
value,value,value,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.21,4.865,-10.203,1.919,-29.807,4.218,31.62,3.765,250.737,4.949
17.857,0.5,37.519,1.131,0.108,0.525,0.076,2.036,0.488,0.391,0.029,43.497,4.838,-10.519,1.797,-28.765,4.23,30.742,3.764,249.522,4.937
35.714,1.0,75.038,1.921,0.182,0.888,0.116,2.551,0.78,0.645,0.054,43.679,4.815,-10.705,1.654,-28.028,4.198,30.107,3.739,248.694,4.814
53.571,1.5,112.556,2.55,0.23,1.177,0.142,2.15,0.487,0.832,0.076,43.822,4.814,-10.833,1.564,-27.436,4.177,29.597,3.724,248.048,4.746
71.429,2.0,150.075,3.066,0.254,1.417,0.144,1.946,0.18,0.997,0.089,43.938,4.84,-10.923,1.51,-26.941,4.165,29.174,3.716,247.516,4.726
89.286,2.5,187.594,3.516,0.27,1.632,0.155,2.851,0.459,1.138,0.094,44.043,4.853,-11.0,1.459,-26.517,4.16,28.801,3.711,247.039,4.716
107.143,3.0,225.113,3.903,0.282,1.82,0.161,2.842,0.933,1.24,0.111,44.13,4.861,-11.06,1.428,-26.14,4.158,28.481,3.71,246.636,4.723
125.0,3.5,262.631,4.256,0.289,1.99,0.169,2.962,0.396,1.351,0.124,44.213,4.87,-11.11,1.391,-25.807,4.154,28.191,3.704,246.268,4.726
142.857,4.0,300.15,4.579,0.293,2.151,0.176,2.88,0.394,1.443,0.128,44.29,4.877,-11.156,1.361,-25.493,4.156,27.923,3.707,245.918,4.734
160.714,4.5,337.669,4.871,0.299,2.304,0.188,3.089,0.449,1.524,0.14,44.378,4.873,-11.197,1.329,-25.215,4.152,27.688,3.702,245.599,4.738
178.571,5.0,375.188,5.157,0.301,2.449,0.203,3.076,0.385,1.601,0.146,44.457,4.874,-11.234,1.302,-24.948,4.153,27.455,3.697,245.291,4.75
196.429,5.5,412.706,5.423,0.306,2.583,0.214,3.054,0.25,1.675,0.151,44.521,4.879,-11.262,1.275,-24.691,4.158,27.234,3.701,245.009,4.767
214.286,6.0,450.225,5.665,0.324,2.707,0.224,3.507,0.193,1.74,0.163,44.583,4.862,-11.289,1.249,-24.459,4.153,27.036,3.697,244.742,4.77
232.143,6.5,487.744,5.9,0.334,2.833,0.235,3.803,0.725,1.804,0.164,44.65,4.866,-11.311,1.227,-24.234,4.149,26.84,3.69,244.483,4.775
250.0,7.0,525.263,6.124,0.341,2.951,0.24,3.581,0.425,1.858,0.165,44.716,4.872,-11.329,1.205,-24.019,4.149,26.652,3.689,244.243,4.775
267.857,7.5,562.781,6.344,0.344,3.063,0.248,3.285,0.357,1.922,0.17,44.776,4.872,-11.353,1.179,-23.811,4.144,26.474,3.686,244.002,4.782
285.714,8.0,600.3,6.548,0.351,3.177,0.254,4.34,0.854,1.959,0.179,44.849,4.875,-11.367,1.162,-23.619,4.143,26.307,3.679,243.785,4.788
303.571,8.5,637.819,6.739,0.359,3.281,0.259,3.775,0.369,2.014,0.188,44.904,4.873,-11.382,1.146,-23.437,4.137,26.147,3.681,243.576,4.793
321.429,9.0,675.338,6.929,0.361,3.382,0.266,3.742,0.609,2.055,0.189,44.961,4.88,-11.393,1.128,-23.256,4.133,25.99,3.677,243.374,4.802
339.286,9.5,712.856,7.114,0.366,3.486,0.276,3.853,0.101,2.099,0.188,45.021,4.889,-11.405,1.108,-23.083,4.133,25.842,3.673,243.169,4.811
357.143,10.0,750.375,7.292,0.371,3.582,0.283,4.166,0.728,2.145,0.189,45.08,4.89,-11.418,1.098,-22.914,4.134,25.696,3.672,242.977,4.826
