time_s,cum_MJ/m2,cum_klux_hr,dE76,dE76,dE00,dE00,dR,dR,dR_VIS,dR_VIS,L*,L*,a*,a*,b*,b*,C*,C*,h,h
value,value,value,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.233,0.488,-9.357,0.664,-33.697,1.56,34.99,1.372,254.423,1.612
19.994,0.195,19.76,0.203,0.021,0.13,0.022,2.25,0.153,0.197,0.033,48.17,0.493,-9.203,0.643,-33.583,1.545,34.837,1.368,254.62,1.571
39.995,0.39,39.528,0.34,0.041,0.207,0.038,3.317,0.753,0.297,0.021,48.147,0.488,-9.113,0.631,-33.487,1.523,34.717,1.359,254.723,1.533
59.994,0.585,59.293,0.447,0.042,0.263,0.04,2.587,0.117,0.383,0.012,48.147,0.499,-9.05,0.616,-33.403,1.51,34.62,1.347,254.793,1.505
79.995,0.78,79.061,0.54,0.05,0.303,0.048,3.197,0.407,0.46,0.042,48.14,0.505,-9.007,0.609,-33.313,1.502,34.52,1.339,254.82,1.492
99.994,0.975,98.827,0.62,0.05,0.333,0.04,2.96,0.137,0.51,0.036,48.15,0.497,-8.977,0.601,-33.23,1.497,34.433,1.339,254.83,1.485
119.995,1.17,118.594,0.7,0.064,0.363,0.04,3.857,0.451,0.563,0.029,48.16,0.505,-8.95,0.605,-33.153,1.496,34.35,1.339,254.847,1.481
139.994,1.365,138.36,0.773,0.066,0.39,0.043,3.323,0.077,0.617,0.041,48.167,0.518,-8.93,0.599,-33.07,1.488,34.267,1.335,254.84,1.471
159.995,1.56,158.128,0.84,0.065,0.417,0.039,3.59,0.822,0.663,0.031,48.177,0.51,-8.91,0.591,-33.0,1.484,34.193,1.331,254.837,1.467
179.994,1.755,177.893,0.913,0.068,0.443,0.04,4.16,0.749,0.703,0.045,48.18,0.51,-8.89,0.591,-32.923,1.488,34.117,1.335,254.837,1.467
199.995,1.95,197.661,0.977,0.071,0.467,0.039,3.24,0.131,0.733,0.038,48.193,0.514,-8.877,0.59,-32.86,1.484,34.053,1.331,254.837,1.459
219.994,2.145,217.426,1.037,0.071,0.49,0.036,3.987,0.661,0.763,0.025,48.213,0.514,-8.86,0.586,-32.8,1.484,33.983,1.331,254.83,1.457
239.995,2.34,237.194,1.097,0.071,0.507,0.038,3.457,0.194,0.797,0.034,48.22,0.51,-8.85,0.58,-32.74,1.484,33.927,1.335,254.823,1.455
259.994,2.535,256.959,1.203,0.133,0.56,0.043,4.303,0.874,0.88,0.07,48.18,0.578,-8.81,0.621,-32.64,1.434,33.82,1.279,254.85,1.499
279.995,2.73,276.727,1.26,0.142,0.583,0.046,3.373,0.133,0.883,0.066,48.19,0.591,-8.797,0.625,-32.58,1.426,33.757,1.267,254.85,1.506
299.994,2.925,296.492,1.313,0.146,0.607,0.042,4.22,0.77,0.92,0.067,48.203,0.592,-8.783,0.622,-32.527,1.421,33.7,1.268,254.843,1.504
319.995,3.12,316.26,1.37,0.147,0.623,0.041,3.783,0.28,0.953,0.071,48.213,0.592,-8.773,0.622,-32.47,1.421,33.643,1.263,254.83,1.507
339.994,3.315,336.026,1.423,0.146,0.643,0.041,4.247,0.767,0.983,0.085,48.223,0.592,-8.763,0.616,-32.413,1.417,33.587,1.264,254.823,1.497
359.995,3.51,355.793,1.48,0.147,0.663,0.041,3.85,0.156,1.01,0.057,48.237,0.593,-8.753,0.622,-32.357,1.421,33.53,1.268,254.81,1.506
379.994,3.705,375.559,1.53,0.147,0.68,0.037,4.44,0.762,1.04,0.083,48.247,0.593,-8.747,0.617,-32.303,1.417,33.48,1.268,254.797,1.502
399.995,3.9,395.326,1.577,0.151,0.7,0.037,4.757,1.281,1.06,0.067,48.26,0.594,-8.74,0.621,-32.253,1.417,33.43,1.268,254.79,1.506
419.994,4.095,415.092,1.627,0.143,0.717,0.034,4.66,0.882,1.073,0.066,48.277,0.593,-8.733,0.616,-32.207,1.421,33.38,1.268,254.773,1.504
