time_s,cum_MJ/m2,cum_klux_hr,dE76,dE76,dE00,dE00,dR,dR,dR_VIS,dR_VIS,L*,L*,a*,a*,b*,b*,C*,C*,h,h
439.995,4.29,434.859,1.67,0.147,0.73,0.029,4.757,0.908,1.093,0.063,48.283,0.598,-8.727,0.612,-32.157,1.413,33.333,1.263,254.773,1.504
459.994,4.485,454.625,1.72,0.147,0.75,0.029,4.447,0.713,1.123,0.066,48.29,0.594,-8.717,0.604,-32.11,1.413,33.283,1.263,254.763,1.497
479.995,4.68,474.392,1.77,0.147,0.767,0.034,4.38,0.863,1.13,0.065,48.307,0.599,-8.71,0.607,-32.067,1.417,33.237,1.264,254.76,1.499
499.994,4.875,494.158,1.813,0.152,0.783,0.031,4.343,0.29,1.16,0.075,48.317,0.599,-8.703,0.608,-32.02,1.413,33.193,1.26,254.75,1.499
519.995,5.07,513.926,1.857,0.148,0.8,0.029,5.487,0.259,1.18,0.067,48.327,0.599,-8.697,0.604,-31.973,1.409,33.147,1.259,254.737,1.502
539.994,5.265,533.691,1.9,0.147,0.817,0.026,4.217,0.34,1.213,0.079,48.337,0.605,-8.693,0.6,-31.93,1.413,33.103,1.26,254.723,1.497
559.995,5.46,553.459,1.947,0.148,0.837,0.026,4.457,0.176,1.223,0.077,48.347,0.605,-8.683,0.603,-31.887,1.409,33.06,1.259,254.713,1.497
579.994,5.655,573.224,1.983,0.152,0.85,0.028,5.297,1.241,1.253,0.076,48.36,0.598,-8.68,0.599,-31.843,1.413,33.02,1.264,254.7,1.492
599.995,5.85,592.992,2.027,0.151,0.863,0.024,4.98,0.535,1.277,0.084,48.373,0.601,-8.673,0.595,-31.807,1.413,32.98,1.264,254.697,1.488
619.994,6.045,612.757,2.07,0.155,0.877,0.026,4.877,0.384,1.29,0.088,48.377,0.603,-8.673,0.595,-31.76,1.409,32.93,1.264,254.683,1.49
639.995,6.24,632.525,2.113,0.152,0.897,0.026,6.483,0.879,1.307,0.07,48.387,0.603,-8.66,0.599,-31.717,1.413,32.89,1.264,254.68,1.5
659.994,6.435,652.29,2.153,0.152,0.913,0.024,4.443,0.599,1.3,0.064,48.397,0.603,-8.653,0.595,-31.68,1.409,32.853,1.26,254.673,1.497
679.995,6.63,672.058,2.193,0.152,0.93,0.022,4.717,0.491,1.33,0.075,48.41,0.606,-8.65,0.594,-31.64,1.409,32.813,1.26,254.66,1.492
699.995,6.825,691.824,2.24,0.147,0.943,0.025,6.327,1.463,1.367,0.065,48.413,0.598,-8.64,0.591,-31.593,1.413,32.767,1.264,254.657,1.495
719.995,7.02,711.591,2.273,0.144,0.957,0.021,5.71,1.185,1.377,0.078,48.42,0.602,-8.637,0.588,-31.557,1.409,32.73,1.259,254.647,1.495
739.995,7.215,731.357,2.31,0.147,0.973,0.025,5.337,0.914,1.377,0.074,48.43,0.602,-8.63,0.586,-31.523,1.405,32.69,1.259,254.64,1.485
759.995,7.41,751.124,2.347,0.143,0.99,0.024,5.153,0.853,1.413,0.066,48.44,0.602,-8.627,0.582,-31.483,1.413,32.66,1.268,254.627,1.495
779.995,7.605,770.89,2.387,0.143,1.007,0.025,5.127,0.331,1.433,0.083,48.45,0.608,-8.627,0.582,-31.443,1.413,32.62,1.268,254.617,1.488
